,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
2,0.606465998,0.906774257,0.132516704,0.619102273,0.906774257,0.132516704,0.619102273,0.906774257,0.132516704,0.619102273,1.189833856,0.865273538,0.228285078,0.450333222,0.043429844,26.8391838,0.939158537,0.103563474,0.704330217,0.939158537,0.103563474,0.704330217,0.939158537,0.103563474,0.704330217,76.16926503,684,1.821522448,13.21547721,1263.094655,0.409089538,7,3.761601969,1871.399107,0.25153516,4.648024435,348.5042682,0.044331969,4.673900072,1.636363636,2.026982591,405.1732698,0,-0.972384204,1.198548998,0,0,0.072990484,0.871208281,0.890868597,8,0.931590711,0.24610245,0.556959002,4,5,39,898,898,22175,6,33,10.25641026,100,63.31734338,15.38461538,84.61538462,0,-0.403050221,3.025695156,0,0.967384604,10.50543577,0,1.637243744,21.22216036,0,1.654731336,69.85338529,0.238563108,12.74174806,901.2636693,0.020646588,3.754643825,771.8590428,0.962680369,0.084632517,0.768583384,0.962680369,0.084632517,0.768583384,0.962680369,0.084632517,0.768583384,0.929699999,0.080178174,0.795325044,0.929699999,0.080178174,0.795325044,0.929699999,0.080178174,0.795325044,1.557605972,0.872194854,0.063474388,0.826110294
3,0.999061033,0.961912066,0.059136421,0.881192021,0.961912066,0.059136421,0.881192021,0.961912066,0.059136421,0.881192021,0.998575539,0.671403454,0.339486859,0.339643769,0.011576971,52.1404017,0.996062291,0.007822278,0.98432581,0.996062291,0.007822278,0.98432581,0.996062291,0.007822278,0.98432581,52.22152691,1669,0.995652185,,,0.19826688,3,,,0.590148291,,,0.019151666,29.81446298,2.027027027,,,0.00409403,,,1.18E-09,2,,,47.77847309,1527,0.952041994,0.121088861,0.756970878,35,2,37,3196,0,0,0,37,94.59459459,0,0,0,100,0.287560004,,,0.000777596,,,0.679499625,,,0.005426489,,,0.913232981,,,0.018486121,,,0.997615519,0.013767209,0.972417267,0.997615519,0.013767209,0.972417267,0.997615519,0.013767209,0.972417267,0.945136338,0.054443054,0.890849865,0.945136338,0.054443054,0.890849865,0.945136338,0.054443054,0.890849865,0.164398987,0.972842735,0.069148936,0.860967657
4,0.75,0.72972973,0.245614035,0.460810811,0.72972973,0.245614035,0.460810811,0.72972973,0.245614035,0.460810811,0.934849024,0.737837838,0.315789474,0.322324967,0.298245614,9.288287145,0.805405405,0.280701754,0.410852713,0.805405405,0.280701754,0.410852713,0.805405405,0.280701754,0.410852713,64.9122807,37,1.560504605,13.19306857,38.03921569,0.244472571,3,3.318063846,5.027701043,1.038392536,2.046258447,9.412290709,0.100648161,9.317054194,2.555555556,0.255075687,2.235509704,0.297472249,-2.035406352,2.160714286,0.010175285,2,-2.007217078,0.707795186,35.0877193,20,0.944594595,0.070175439,0.845945946,4,2,17,57,56,326,8,9,23.52941176,98.24561404,33.64293086,47.05882353,52.94117647,0.624489635,-1.413442064,3.831011905,0.033695915,-0.563056262,1.187969733,1.088960204,-0.263438715,4.421353436,0.079708087,0.158549885,1.337455422,1.480497922,5.180463754,10.18186583,0.158427693,0.80865953,4.034545919,0.604054054,0.210526316,0.515580737,0.604054054,0.210526316,0.515580737,0.604054054,0.210526316,0.515580737,0.750071124,0.298245614,0.337662338,0.750071124,0.298245614,0.337662338,0.750071124,0.298245614,0.337662338,0.527046277,0.767567568,0.210526316,0.558139535
5,0.354767184,0.765396606,0.309734513,0.517550547,0.765396606,0.309734513,0.517550547,0.765396606,0.309734513,0.517550547,2.4013863,0.601557683,0.433628319,0.187534964,0.619469027,150.9346409,0.738341511,0.342920354,0.479548933,0.738341511,0.342920354,0.479548933,0.738341511,0.342920354,0.479548933,54.20353982,245,0.992515971,452,367.2079646,0.096306601,13,21.26029163,127.2202476,0.0746119,50.38865143,14.3486045,0.015910107,3.689591341,2.027027027,1.327007817,9.970201092,0,-1.635150923,-23.49911504,0,1,-21.26029163,0,0.442477876,2,0.786228109,0.396017699,0.406571806,73,13,280,452,384,408,206,74,26.07142857,84.95575221,0.322376738,73.57142857,26.42857143,0.02270194,2.165153949,0,0.004994167,-0.669309919,0.969269776,0.05756491,7.218928059,0.931969027,0.01268131,0.35488434,3.481589535,0.087753726,31.70901364,19.96238938,0.02423946,2.579932016,16.45076155,0.738091611,0.349557522,0.445902224,0.738091611,0.349557522,0.445902224,0.738091611,0.349557522,0.445902224,0.621705578,0.506637168,0.232967261,0.621705578,0.506637168,0.232967261,0.621705578,0.506637168,0.232967261,1.334196931,0.598570385,0.46460177,0.212778662
6,0.040902045,0.942529806,0.15215,0.841756864,0.942529806,0.15215,0.841756864,0.942529806,0.15215,0.841756864,4.699810727,0.657454527,0.9293,0.032769767,0.00085,,0.937967605,0.15865,0.834997924,0.937967605,0.15865,0.834997924,0.937967605,0.15865,0.834997924,4.065,813,,2.075245046,8.33885,,26,1.159975015,3.304555304,,0.697737901,5.925465625,,,26,0.290297034,2.273771145,,-0.421178822,3.0461,,26,-0.31007907,1.546722436,3.67,734,0.955920724,0.36025,0.625325051,0,26,17,20000,0,0,16,1,0,0,0,94.11764706,5.882352941,,0.309132496,4.1748125,,-0.137330428,2.017438813,,0.885304439,5.913225,,0.254334588,2.293372102,,1.172838982,7.7260125,,0.653378003,2.547423135,0.954430325,0.20315,0.788715232,0.954430325,0.20315,0.788715232,0.954430325,0.20315,0.788715232,0.908013952,0.1769,0.81601708,0.908013952,0.1769,0.81601708,0.908013952,0.1769,0.81601708,0,0.973101893,0.05785,0.939833878
7,0.324444444,0.912598799,0.269911504,0.683087745,0.912598799,0.269911504,0.683087745,0.912598799,0.269911504,0.683087745,3.421946788,0.758367637,0.53539823,0.305939086,0.309734513,24.87065346,0.920832103,0.256637168,0.69960583,0.920832103,0.256637168,0.69960583,0.920832103,0.256637168,0.69960583,25.22123894,57,2.171247608,,,0.903440864,24,,,0.318115372,,,0.137589742,1.312057335,2.542857143,,,0.040972024,,,0.008835497,2,,,0.442477876,1,0.946542242,0.380530973,0.532923195,61,24,70,226,222,317,0,70,87.14285714,98.2300885,2.003792668,0,100,0.040972024,,,0.020930763,,,0.073066119,,,0.047539794,,,0.299411329,,,0.141962061,,,0.90297152,0.296460177,0.645328274,0.90297152,0.296460177,0.645328274,0.90297152,0.296460177,0.645328274,0.795064976,0.39380531,0.53317706,0.795064976,0.39380531,0.53317706,0.795064976,0.39380531,0.53317706,2.706330283,0.871836712,0.265486726,0.685827483
8,0.825581395,,,,,,,,,,,,,,0.017391304,,,,,,,,,,,,,,13.81391175,90.15942029,,,3.063498642,39.25461617,,6.571175731,42.80289855,,,,1.68861962,15.8275034,,0.747882831,3.455072464,,,-0.388433124,3.337835265,,,,,,0,0,6,345,0,0,6,0,0,0,0,100,0,,2.12568884,19.34637681,,0.468141798,4.170530797,,5.901776568,34.34492754,,1.918445936,14.20608205,,11.3110398,74.94202899,,2.91544483,24.44788572,,,,,,,,,,,,,,,,,,,,,,
9,0.632352941,0.842861757,0.36097561,0.526011561,0.842861757,0.36097561,0.526011561,0.842861757,0.36097561,0.526011561,2.272474019,0.693905179,0.551219512,0.213679566,0.126829268,7.907213335,0.856695663,0.312195122,0.598014584,0.856695663,0.312195122,0.598014584,0.856695663,0.312195122,0.598014584,32.68292683,67,4.117919521,5.305682092,13207.12935,0.921073321,22,2.610862458,7947.066342,1.392577687,1.3593186,1447.091008,0.287392527,3.845559845,6,0.799581463,606.9879338,0.110145431,-0.8289454,3.255422886,0.040981296,2,-0.683122194,0.273538732,1.463414634,3,0.83684896,0.419512195,0.462467224,4,6,26,205,46,59,15,11,15.38461538,22.43902439,1.106941839,57.69230769,42.30769231,0.626161274,-0.042853766,25.2195122,0.057897892,0.073236691,2.44352197,1.185212866,0.57864834,98.75658537,0.22060529,0.681398189,6.886443131,1.797437344,2.623279794,174.0492683,0.424032499,1.391029494,41.64269344,0.80372066,0.43902439,0.417632019,0.80372066,0.43902439,0.417632019,0.80372066,0.43902439,0.417632019,0.842526261,0.268292683,0.651435991,0.842526261,0.268292683,0.651435991,0.842526261,0.268292683,0.651435991,5.796550698,0.825862493,0.258536585,0.66632885
10,0.503401361,0.792454585,0.236486486,0.547440154,0.792454585,0.236486486,0.547440154,0.792454585,0.236486486,0.547440154,1.227677502,0.771565654,0.243243243,0.53164557,0.128378378,9.376802234,0.803504013,0.243243243,0.55,0.803504013,0.243243243,0.55,0.803504013,0.243243243,0.55,54.72972973,81,2.527125738,29.74946513,2.601351351,0.401883876,8,5.442361694,1.905023309,1.117406185,9.883463404,2.045045045,0.130927098,7.534567748,3,2.326489482,1.018402305,0.274803196,-0.504096048,1.060810811,0.029119963,2,0.333795162,0.313556543,1.351351351,2,0.908328265,0.155405405,0.701482066,9,4,19,148,0,0,3,16,47.36842105,0,0,15.78947368,84.21052632,0.740448245,-0.504096048,1.060810811,0.063794872,0.333795162,0.313556543,0.99155285,0.405021133,2.472972973,0.135651203,1.20331159,0.836627063,1.608258557,29.74946513,2.601351351,0.17368799,5.442361694,1.905023309,0.746657923,0.290540541,0.430361618,0.746657923,0.290540541,0.430361618,0.746657923,0.290540541,0.430361618,0.757621072,0.243243243,0.529536424,0.757621072,0.243243243,0.529536424,0.757621072,0.243243243,0.529536424,1.591644852,0.827737633,0.195945946,0.623706821
11,0.697115385,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,1.318116246,0.646919436,0.376,0.302670623,0.008,,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,46.08,288,,-1.300798439,3,,3,0,1.415346293,,-1.300798439,3,,,3,0,1.415346293,,-1.300798439,3,,3,0,1.415346293,7.84,49,0.963095112,0.104,0.807121662,0,3,5,625,0,0,4,1,0,0,0,80,20,,-1.300798439,3,,0,1.415346293,,-1.300798439,3,,0,1.415346293,,-1.300798439,3,,0,1.415346293,0.852566827,0.2144,0.602373887,0.852566827,0.2144,0.602373887,0.852566827,0.2144,0.602373887,0.834430638,0.2144,0.625731778,0.834430638,0.2144,0.625731778,0.834430638,0.2144,0.625731778,0,0.92320087,0.1648,0.702793167
